categoria,cat_principal,nombre,ean,precio,precio_texto,fecha
Limpieza,Limpieza,pantalon  rustico chupin color azul talles 6 al 16,2700006103511,17977.0,"$17.977,00",20260901
Limpieza,Limpieza,pantalon babucha con bolsillos 16,2700006010291,25472.42,"$25.472,42",20260901
Limpieza,Limpieza,pantalon chupin talle 18 al 20,2700006103559,20123.0,"$20.123,00",20260901
Limpieza,Limpieza,pantalon chupin talle s al xl,2700006103566,25240.0,"$25.240,00",20260901
Limpieza,Limpieza,pantalon con puao,2700004167683,10760.43,"$10.760,43",20260901
Limpieza,Limpieza,pantalon corderoy lycra 14,7122255,19690.0,"$19.690,00",20260901
Limpieza,Limpieza,pantalon frisa color azul talle 6 al 16,2700006103467,17977.0,"$17.977,00",20260901
Limpieza,Limpieza,pantalon friza con vivos,2700004165030,24622.78,"$24.622,78",20260901
Limpieza,Limpieza,pantalon friza talle 6 al 16,2700006103115,17977.0,"$17.977,00",20260901
Limpieza,Limpieza,pantalon jogger cargo,2700004165214,42465.36,"$42.465,36",20260901
Limpieza,Limpieza,pantalon recto frizado 16,2700006010284,25472.42,"$25.472,42",20260901
Limpieza,Limpieza,pantalon rustico  color azul talle s al xl,2700006103535,25240.0,"$25.240,00",20260901
Limpieza,Limpieza,pantalon wide lee 14,2700004165108,41615.72,"$41.615,72",20260901
Limpieza,Limpieza,paraguas largo automatico,5020263,15507.0,"$15.507,00",20260901
Limpieza,Limpieza,pashmina,2700001231141,14810.0,"$14.810,00",20260901
Limpieza,Limpieza,pela y pica ajo aluminio,6930058930148,6040.0,"$6.040,00",20260901
Limpieza,Limpieza,pelacable ajustable,6934097726373,10956.0,"$10.956,00",20260901
Limpieza,Limpieza,pelacable automatico 7 hoteche,6934097701653,20145.0,"$20.145,00",20260901
Limpieza,Limpieza,pelapapas chef,7798005430993,3322.0,"$3.322,00",20260901
Limpieza,Limpieza,pelapapas loekemeyer,7795587004789,3955.0,"$3.955,00",20260901
Limpieza,Limpieza,percha,7794296008026,5261.0,"$5.261,00",20260901
Limpieza,Limpieza,percha,7794297083596,5509.0,"$5.509,00",20260901
